set1,frequency
toh,1
total,1
transfer,1
travelling,1
tribe,3
trtorism,1
true,1
truely,4
truly,1
trust,1
try,1
trying,1
turkey,2
turky,1
uk,1
ulgir,2
un,1
undocumented,1
unging,1
ungrateful,1
united,2
uno,1
untuk,1
used,1
using,1
utill,1
uyghur,1
v,2
vairus,1
vapas,1
victims,2
village,1
villagers,2
want,7
wanted,1
wapas,1
warriors,1
welcome,2
welcomed,1
welcoming,1
well,1
went,2
whats,1
wife,1
without,1
wives,1
women,5
word,3
work,1
world,1
would,1
ya,1
years,1
yes,1
yg,1
young,2
youth,1
zati,1
