set2,frequency
activity,1
already,1
bangaldesh,1
bangladesh,4
bangladeshi,10
bangladeshis,4
bengali,3
bengladesh,1
chinese,1
citizens,1
concluded,1
country,1
entries,1
entry,1
face,1
false,1
foreigners,1
go,1
illegal,1
immgrants,1
immigrant,6
immigrantion,1
immigrants,62
immigration,8
india,1
infiltrants,2
junta,1
labours,1
legal,1
living,1
migrants,25
migration,3
muslim,3
myanmar,3
nt,1
nuclear,1
occupation,1
pandulu,1
people,3
president,1
rakhine,1
refugee,2
refugees,1
residents,1
rohingas,1
rohingya,1
rohingyas,5
ronhingyass,1
settelment,1
settled,1
settlers,1
ship,1
soon,1
stop,1
sure,1
vacate,1
weapons,1
