videoId,title,channelId,channelName,date
deTFkzMkcFo,Charity Right | Rohingya Distribution in Cox&#39;s Bazar,UCxVul05vHeAr39x-KYhLKGA,Charity Right,2017-11-02T12:46:01Z
vWP0bdLz2oA,Rohingya Charity Meet - Remake Snippet,UCrT_2ugJtyLErdoDLBCCC-w,Adams Media,2017-12-15T23:32:50Z
yUdl-hjm0U4,&#39;They&#39;re literally coming with nothing&#39;: Toronto charity raising funds for Rohingya refugees,UCVKAcQQCO8vv87Gk62SutAg,CityNews,2017-12-02T04:42:02Z
pMy5eqpskKA,"Charity Sharing, Danish school model, Rohingya/English/Arabic",UCFch0qhRgke0dUKl0FrLYVg,Rohingya Aid - Denmark,2019-02-20T15:07:29Z
U4gaXzNQKD0,Rohingya Charity Trip 2018 - no mans land,UC9E5eUKNTGV_qCxWUevD5JQ,Aweis Asghar,2018-02-03T08:44:14Z
2tF5jEV3DXg,Bangladesh eases restrictions on Rohingya charity groups,UCckHqySbfy5FcPP6MD_S-Yg,Times of India,2017-09-27T09:07:15Z
vBEABJTWRbs,Rohingya Charity Trip 2018 - last day,UC9E5eUKNTGV_qCxWUevD5JQ,Aweis Asghar,2018-02-03T08:47:45Z
BE5gs01Pq_M,BMCO&#39;s Rohingya Winter Warmth - Dec 2017,UC0IaiEBI0ajx6FSR4crmsvQ,Al-Imdaad Foundation,2017-12-12T12:38:42Z
qD3P-yvwn0E,Charity Event Teaser | Rohingya | Studio1 Media | Diyah Events,UCQI1DlXV27D8xN3yGlY5-sw,Studio1 Media,2017-01-22T15:55:13Z
Mw81OZlbUzY,"Pakistani cricketers played a charity match for Rohingya Muslims, Sports Roundup with Danyal Sohail",UC8SUpGjRdTSqIBuOfmWp3rg,UrduPoint.com,2018-08-03T10:40:05Z
pWdbHZmhVz0,"Charity Dinner for ROHINGYA MUSLIMS  By Reach A D Trust Sonargaon Restaurant, London ( Bangla News",UCOM7harCHE9D_ra6mgky6Yg,Bulbul Ahmed,2017-11-05T09:47:44Z
_0Y_VEqVlIg,Charity Dinner For Rohingya বক্তব্য রাখছেন ডাক্তার ম এ আজিজ Organise By Reach A D Trust,UCOM7harCHE9D_ra6mgky6Yg,Bulbul Ahmed,2017-11-04T17:50:55Z
M9uktqrvym4,Charity Right | Journey Through Rohingya Refugee Camp,UCxVul05vHeAr39x-KYhLKGA,Charity Right,2017-09-28T16:45:06Z
Ae95SpSnKrM,Play For Rohingya Charity Tournament Draw,UCiJjzHGKKiyxnxXhyfOmVPQ,ILFL,2018-04-12T20:00:30Z
SfGccvyL_bc,"Muslim Aid- Charity fund raising dinner, Birmingham for Rohingya. Song by Shaam.",UCw_ivwyxlZ5Jd43FgHx68Aw,SyEd ePOST,2017-10-20T22:22:50Z
tI6mz9ubSCo,Charity Right | We&#39;re supporting more Rohingya schools and families than ever before,UCxVul05vHeAr39x-KYhLKGA,Charity Right,2018-02-22T10:50:54Z
fwOaZmcBib8,Rohingya crisis appeal 2,UCisLPFN0ZRHHSW-DRcT1nIA,Ummah Charity International,2017-11-14T23:21:58Z
CLlVSsm62vI,Send your Qurbani to Rohingya Refugees | Charity Right,UCxVul05vHeAr39x-KYhLKGA,Charity Right,2018-08-16T12:49:45Z
sIP89TOfOLc,Delivering Fuel to Rohingya Families (2018),UC3Dg1YwEJoePf9gBzEe55Eg,UmmahWelfareTrustUK,2018-03-14T14:38:14Z
0WUkH47ZkCE,Love Rohingya Live Appeal - Muslim Charity - Islam Channel,UCePEXBAsYd9R0DJyitbbStA,Sheikh Ramzy,2017-10-03T22:34:20Z
DHWoCX3hNkc,"Rohingya muslim death toll hit 6,700 in one month, charity says| Morning News",UCfz-WRyqivUKCnMZRq2QsjQ,Breaking News BBC,2017-12-15T05:49:51Z
q53TN1TyENQ,ROHINGYA EMERGENCY | MuslimCharity.org.uk | HELP NOW | ROHINGYA | FIRE,UCnPnAAWvGwyVMN7cqVaXSeg,Muslim Charity,2021-01-14T19:57:22Z
Eq6q2eKkCIk,UAE charity witnessed first hand the catastrophic rohingyas plightUs news-,UCZsmdA2Cfp4V1H3DCDfx68Q,Us News,2017-11-27T03:45:33Z
xuZxXd8S8GE,Myanmar disputes Rohingya genocide at World Court | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,2019-12-10T14:29:15Z
4G4HrksSxGk,🇲🇲 Evidence of Myanmar&#39;s massacre of Rohingya men: Reuters,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2018-02-09T10:27:13Z
etmucofkwvA,Rohingya Genocide: Five More Mass Graves Found in Rakhine | The Quint,UCSaf-7p3J_N-02p7jHzm5tA,The Quint,2018-02-09T09:49:26Z
_Az2yPZOtlQ,This Is Where The Rohingya Genocide Happened (HBO),UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2018-08-28T13:35:36Z
L9Zh4z38N90,57 Countries File Rohingya Genocide case against Myanmar  at UN court Current Affairs 2019,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2019-11-13T01:52:36Z
quaoOyXZZLQ,Rohingya demand justice ahead of Myanmar genocide hearings,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2019-12-10T07:42:53Z
91H-ON1OgBY,Rohingya genocide?,UCiDyg5GUMxZiHiwiQ29Nwhw,The Newsmakers,2017-09-07T14:02:08Z
7DCTkNGUvXA,Commission finds no evidence of genocide in Myanmar,UCSrZ3UV4jOidv8ppoVuvW9Q,euronews,2017-01-04T17:44:24Z
N37LL6jPB5w,"‘Shoot all you see’, Myanmar soldiers confess roles in massacre of Rohingya Muslims",UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2020-09-11T07:20:59Z
7cwCHlIwp1c,ICJ rules on Myanmar Rohingya Genocide case,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-01-23T10:31:51Z
81bp5bPeoS8,Myanmar Rohingya: Army &#39;must face genocide charges&#39; BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2018-08-28T11:00:01Z
MI9VkzneNcs,"🇲🇲 AP releases video showing &#39;Rohingya massacre site, mass graves&#39;",UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2018-02-01T12:42:02Z
WsvupCe0q5A,Rohingya Genocide Survivors In Portland,UC2itzMBo0R0kHZ8cF7nrcaA,OPB,2019-08-26T13:00:07Z
WSlFuQ59AFo,"Myanmar Army deserters confess to Rohingya slaughter, rape",UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2020-09-09T19:50:06Z
euG2GjYRjKU,Exclusive: &quot;Strong evidence&quot; of Genocide in Myanmar,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2015-10-26T11:23:55Z
2FzP7NXayr8,Myanmar Rohingya: Suu Kyi rejects genocide claims at UN court - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2019-12-11T12:53:21Z
Tb2FSeDG6t4,"Facebook helped drive the Rohingya ‘genocide’, UN says",UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2018-03-15T09:29:49Z
4rmstJZSEnI,Claims of ethnic violence in Burma,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,2013-04-22T19:33:04Z
