set2,frequency
aatankbadi,1
aatankwadi,2
adhatiya,1
baki,1
banta,1
bas,1
bhadwa,1
bussiness,1
china,1
chor,1
congress,1
dakaayet,1
daku,1
dalal,5
desh,1
dngayi,1
faltu,1
gunda,1
gunde,1
h,4
ha,2
hai,18
haiwaan,1
hei,1
inke,1
ise,1
jahil,1
kasai,1
khalis,1
khalistani,1
kisan,2
koy,1
lakho,1
mante,1
nasedi,1
sale,1
tu,1
tumara,1
vipakshi,1
virodhi,1
wo,1
ye,1
yea,1
yeh,1
