model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_2.bin,lr,50,5,281,lr,0.731182796,0.731072549,0.731182796,0.731125938,,0.731182796,0.731182796,0.731182796
models/ft_unsupervised_N_2.bin,lr,50,5,281,svm,0.703533026,0.702376335,0.703533026,0.698090722,,0.703533026,0.703533026,0.703533026
models/ft_unsupervised_N_2.bin,lr,50,5,281,knn,0.622119816,0.619124089,0.622119816,0.598176661,,0.622119816,0.622119816,0.622119816
models/ft_unsupervised_N_2.bin,lr,100,1,51,lr,0.698924731,0.704810268,0.698924731,0.700184053,,0.698924731,0.698924731,0.698924731
models/ft_unsupervised_N_2.bin,lr,100,1,51,svm,0.549923195,0.675006292,0.549923195,0.504256289,,0.549923195,0.549923195,0.549923195
models/ft_unsupervised_N_2.bin,lr,100,1,51,knn,0.543778802,0.542456034,0.543778802,0.543055383,,0.543778802,0.543778802,0.543778802
models/ft_unsupervised_N_2.bin,lr,100,2,76,lr,0.622119816,0.627821365,0.622119816,0.623656308,,0.622119816,0.622119816,0.622119816
models/ft_unsupervised_N_2.bin,lr,100,2,76,svm,0.443932412,0.519981869,0.443932412,0.323742018,,0.443932412,0.443932412,0.443932412
models/ft_unsupervised_N_2.bin,lr,100,2,76,knn,0.56374808,0.543819811,0.56374808,0.524574438,,0.56374808,0.56374808,0.56374808
models/ft_unsupervised_N_2.bin,lr,100,5,151,lr,0.748079877,0.746987914,0.748079877,0.747075104,,0.748079877,0.748079877,0.748079877
models/ft_unsupervised_N_2.bin,lr,100,5,151,svm,0.617511521,0.700137764,0.617511521,0.600769448,,0.617511521,0.617511521,0.617511521
models/ft_unsupervised_N_2.bin,lr,100,5,151,knn,0.622119816,0.629027886,0.622119816,0.581908966,,0.622119816,0.622119816,0.622119816
models/ft_unsupervised_N_2.bin,svm,10,1,283,lr,0.740399386,0.746393826,0.740399386,0.741498518,,0.740399386,0.740399386,0.740399386
models/ft_unsupervised_N_2.bin,svm,10,1,283,svm,0.734254992,0.733295445,0.734254992,0.733563357,,0.734254992,0.734254992,0.734254992
models/ft_unsupervised_N_2.bin,svm,10,1,283,knn,0.652841782,0.657749199,0.652841782,0.630205308,,0.652841782,0.652841782,0.652841782
models/ft_unsupervised_N_2.bin,svm,10,2,540,lr,0.751152074,0.753062753,0.751152074,0.751759815,,0.751152074,0.751152074,0.751152074
models/ft_unsupervised_N_2.bin,svm,10,2,540,svm,0.738863287,0.739725085,0.738863287,0.73394079,,0.738863287,0.738863287,0.738863287
models/ft_unsupervised_N_2.bin,svm,10,2,540,knn,0.631336406,0.633113547,0.631336406,0.603729109,,0.631336406,0.631336406,0.631336406
models/ft_unsupervised_N_2.bin,svm,10,5,1311,lr,0.755760369,0.756330075,0.755760369,0.756000464,,0.755760369,0.755760369,0.755760369
models/ft_unsupervised_N_2.bin,svm,10,5,1311,svm,0.769585253,0.77051598,0.769585253,0.769933999,,0.769585253,0.769585253,0.769585253
models/ft_unsupervised_N_2.bin,svm,10,5,1311,knn,0.65437788,0.658246253,0.65437788,0.633414787,,0.65437788,0.65437788,0.65437788
models/ft_unsupervised_N_2.bin,svm,20,1,154,lr,0.748079877,0.748794237,0.748079877,0.748373313,,0.748079877,0.748079877,0.748079877
models/ft_unsupervised_N_2.bin,svm,20,1,154,svm,0.708141321,0.726275653,0.708141321,0.708961397,,0.708141321,0.708141321,0.708141321
models/ft_unsupervised_N_2.bin,svm,20,1,154,knn,0.634408602,0.640726145,0.634408602,0.602395728,,0.634408602,0.634408602,0.634408602
models/ft_unsupervised_N_2.bin,svm,20,2,282,lr,0.757296467,0.762480407,0.757296467,0.75828332,,0.757296467,0.757296467,0.757296467
models/ft_unsupervised_N_2.bin,svm,20,2,282,svm,0.748079877,0.753299108,0.748079877,0.749104206,,0.748079877,0.748079877,0.748079877
models/ft_unsupervised_N_2.bin,svm,20,2,282,knn,0.599078341,0.593582618,0.599078341,0.559835394,,0.599078341,0.599078341,0.599078341
models/ft_unsupervised_N_2.bin,svm,20,5,666,lr,0.743471582,0.742224232,0.743471582,0.7420599,,0.743471582,0.743471582,0.743471582
models/ft_unsupervised_N_2.bin,svm,20,5,666,svm,0.743471582,0.744332266,0.743471582,0.74381575,,0.743471582,0.743471582,0.743471582
models/ft_unsupervised_N_2.bin,svm,20,5,666,knn,0.655913978,0.657890878,0.655913978,0.637703461,,0.655913978,0.655913978,0.655913978
models/ft_unsupervised_N_2.bin,svm,30,1,111,lr,0.729646697,0.72848117,0.729646697,0.728722424,,0.729646697,0.729646697,0.729646697
models/ft_unsupervised_N_2.bin,svm,30,1,111,svm,0.566820276,0.321285226,0.566820276,0.410111141,,0.566820276,0.566820276,0.566820276
models/ft_unsupervised_N_2.bin,svm,30,1,111,knn,0.597542243,0.598354061,0.597542243,0.54147712,,0.597542243,0.597542243,0.597542243
models/ft_unsupervised_N_2.bin,svm,30,2,196,lr,0.728110599,0.728521404,0.728110599,0.722849792,,0.728110599,0.728110599,0.728110599
models/ft_unsupervised_N_2.bin,svm,30,2,196,svm,0.692780338,0.725637901,0.692780338,0.691670629,,0.692780338,0.692780338,0.692780338
models/ft_unsupervised_N_2.bin,svm,30,2,196,knn,0.612903226,0.613115115,0.612903226,0.575470983,,0.612903226,0.612903226,0.612903226
